symbol,description,Date,Value,src
OPEC/ORB,Petroleo OPEC,2016-08-25,45.28,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-24,45.25,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-23,45.34,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-22,46.04,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-19,46.82,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-18,46.5,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-17,45.34,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-16,45.03,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-15,43.92,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-12,42.6,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-11,40.62,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-10,40.57,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-09,41.08,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-08,41.1,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-05,40.08,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-04,39.6,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-03,38.43,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-02,38.29,Quandl
OPEC/ORB,Petroleo OPEC,2016-08-01,39.1,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-29,38.97,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-28,39.79,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-27,40.49,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-26,40.62,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-25,41.35,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-22,41.71,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-21,42.93,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-20,42.73,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-19,42.66,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-18,43.36,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-15,43.24,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-14,42.88,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-13,43.19,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-12,43.22,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-11,42.21,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-08,42.59,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-07,44.19,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-06,44.35,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-05,44.34,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-04,46.08,Quandl
OPEC/ORB,Petroleo OPEC,2016-07-01,45.42,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-30,46.27,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-29,45.82,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-28,44.46,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-27,44.32,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-24,44.88,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-23,46.16,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-22,46.46,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-21,46.02,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-20,46.24,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-17,44.18,Quandl
OPEC/ORB,Petroleo OPEC,2016-06-16,44.03,Quandl
