symbol,description,Date,value,src
IPCSL,IPC San Luis,11/05,0.0111,abara
IPCSL,IPC San Luis,12/05,0.0040,abara
IPCSL,IPC San Luis,01/06,0.0119,abara
IPCSL,IPC San Luis,02/06,0.0019,abara
IPCSL,IPC San Luis,03/06,0.0082,abara
IPCSL,IPC San Luis,04/06,0.0056,abara
IPCSL,IPC San Luis,05/06,0.0034,abara
IPCSL,IPC San Luis,06/06,0.0052,abara
IPCSL,IPC San Luis,07/06,0.0030,abara
IPCSL,IPC San Luis,08/06,0.0020,abara
IPCSL,IPC San Luis,09/06,0.0042,abara
IPCSL,IPC San Luis,10/06,0.0049,abara
IPCSL,IPC San Luis,11/06,0.0104,abara
IPCSL,IPC San Luis,12/06,0.0163,abara
IPCSL,IPC San Luis,01/07,0.0112,abara
IPCSL,IPC San Luis,02/07,0.0066,abara
IPCSL,IPC San Luis,03/07,0.0104,abara
IPCSL,IPC San Luis,04/07,0.0227,abara
IPCSL,IPC San Luis,05/07,0.0208,abara
IPCSL,IPC San Luis,06/07,0.0266,abara
IPCSL,IPC San Luis,07/07,0.0255,abara
IPCSL,IPC San Luis,08/07,0.0332,abara
IPCSL,IPC San Luis,09/07,0.0200,abara
IPCSL,IPC San Luis,10/07,0.0143,abara
IPCSL,IPC San Luis,11/07,-0.0040,abara
IPCSL,IPC San Luis,12/07,0.0098,abara
IPCSL,IPC San Luis,01/08,0.0202,abara
IPCSL,IPC San Luis,02/08,0.0224,abara
IPCSL,IPC San Luis,03/08,0.0406,abara
IPCSL,IPC San Luis,04/08,0.0299,abara
IPCSL,IPC San Luis,05/08,0.0025,abara
IPCSL,IPC San Luis,06/08,0.0242,abara
IPCSL,IPC San Luis,07/08,0.0140,abara
IPCSL,IPC San Luis,08/08,0.0082,abara
IPCSL,IPC San Luis,09/08,0.0108,abara
IPCSL,IPC San Luis,10/08,0.0058,abara
IPCSL,IPC San Luis,11/08,0.0064,abara
IPCSL,IPC San Luis,12/08,0.0045,abara
IPCSL,IPC San Luis,01/09,0.0116,abara
IPCSL,IPC San Luis,02/09,-0.0001,abara
IPCSL,IPC San Luis,03/09,0.0234,abara
IPCSL,IPC San Luis,04/09,0.0182,abara
IPCSL,IPC San Luis,05/09,0.0086,abara
IPCSL,IPC San Luis,06/09,0.0053,abara
IPCSL,IPC San Luis,07/09,0.0100,abara
IPCSL,IPC San Luis,08/09,0.0186,abara
IPCSL,IPC San Luis,09/09,0.0154,abara
IPCSL,IPC San Luis,10/09,0.0166,abara
IPCSL,IPC San Luis,11/09,0.0115,abara
IPCSL,IPC San Luis,12/09,0.0320,abara
IPCSL,IPC San Luis,01/10,0.0222,abara
IPCSL,IPC San Luis,02/10,0.0435,abara
IPCSL,IPC San Luis,03/10,0.0263,abara
IPCSL,IPC San Luis,04/10,0.0137,abara
IPCSL,IPC San Luis,05/10,0.0158,abara
IPCSL,IPC San Luis,06/10,0.0109,abara
IPCSL,IPC San Luis,07/10,0.0146,abara
IPCSL,IPC San Luis,08/10,0.0106,abara
IPCSL,IPC San Luis,09/10,0.0159,abara
IPCSL,IPC San Luis,10/10,0.0327,abara
IPCSL,IPC San Luis,11/10,0.0190,abara
IPCSL,IPC San Luis,12/10,0.0170,abara
IPCSL,IPC San Luis,01/11,0.0110,abara
IPCSL,IPC San Luis,02/11,0.0108,abara
IPCSL,IPC San Luis,03/11,0.0266,abara
IPCSL,IPC San Luis,04/11,0.0260,abara
IPCSL,IPC San Luis,05/11,0.0174,abara
IPCSL,IPC San Luis,06/11,0.0151,abara
IPCSL,IPC San Luis,07/11,0.0174,abara
IPCSL,IPC San Luis,08/11,0.0243,abara
IPCSL,IPC San Luis,09/11,0.0192,abara
IPCSL,IPC San Luis,10/11,0.0110,abara
IPCSL,IPC San Luis,11/11,0.0139,abara
IPCSL,IPC San Luis,12/11,0.0187,abara
IPCSL,IPC San Luis,01/12,0.0116,abara
IPCSL,IPC San Luis,02/12,0.0147,abara
IPCSL,IPC San Luis,03/12,0.0339,abara
IPCSL,IPC San Luis,04/12,0.0200,abara
